task_number,source_file,editorial_status,last_researched,last_code_run,project_narrative_review,project_prose_scan,project_adversarial_review,adversarial_rounds,project_automated_accessibility,manual_accessibility,human_approval,open_limitations
30,6_entity_enrichment/30-geocoding.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,2,passed,pending,pending,The gazetteer is invented and deliberately contains one ambiguous place name
31,6_entity_enrichment/31-temporal-parsing.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,2,passed,pending,pending,Resolution depends on a stated reference date; several expressions cannot resolve
32,6_entity_enrichment/32-named-entity-linking.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,2,passed,pending,pending,Alias matching finds only what was written down; ambiguity is built into the data
33,6_entity_enrichment/33-coreference-resolution.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,2,passed,pending,pending,"The passage is constructed and the rule is a baseline, not a coreference system"
34,6_entity_enrichment/34-text-de-identification.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,2,passed,pending,pending,All identifiers are invented; rule-based redaction is not safe for real personal data
35,7_sentences_and_paragraphs/35-sentence-segmentation.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,2,passed,pending,pending,Splitter scores come from one short constructed passage of hard cases
36,7_sentences_and_paragraphs/36-paragraph-segmentation.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,2,passed,pending,pending,Paragraph rules depend on the file format and are shown on two formats only
37,7_sentences_and_paragraphs/37-grammar-checking.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,2,passed,pending,pending,Three rules are a demonstration; one is wrong by design to show why sound matters
38,7_sentences_and_paragraphs/38-readability-scoring.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,2,passed,pending,pending,Readability formulas count surface features and are not a reading level for a person
39,8_documents/39-deduplication.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,2,passed,pending,pending,Threshold results come from a small constructed set of pairs
40,8_documents/40-raw-text-cleaning.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,2,passed,pending,pending,Every cleaning step is lossy; the examples are constructed to expose that
41,8_documents/41-metadata-extraction.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,2,passed,pending,pending,Metadata a document asserts about itself is not evidence; the fingerprint is
42,8_documents/42-language-identification.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,2,passed,pending,pending,Two detectors trained on similar data can agree and still be wrong
43,9_model_development/43-training-models.qmd,review-ready,2026-08-30,2026-08-30,passed,passed,passed,3,passed,pending,pending,"Twenty-eight sentences cannot train a model; borrowing a larger corpus is a workaround, not a fix"
44,9_model_development/44-evaluating-models.qmd,review-ready,2026-08-30,2026-08-30,passed,passed,passed,3,passed,pending,pending,Ten replicates of one corpus; the era signal may partly reflect period orthography rather than period content
45,9_model_development/45-explaining-models.qmd,review-ready,2026-08-30,2026-08-30,passed,passed,passed,3,passed,pending,pending,"Coefficients show what a linear model weighted, not whether a prediction is right"
46,9_model_development/46-deploying-models.qmd,review-ready,2026-08-30,2026-08-30,passed,passed,passed,3,passed,pending,pending,"Deployment is shown without a running server, so nothing here tests real serving behaviour"
47,9_model_development/47-monitoring-models.qmd,review-ready,2026-08-30,2026-08-30,passed,passed,passed,3,passed,pending,pending,Slices derived from the label make per-slice accuracy near-meaningless; drift cannot see a model confidently wrong
48,10_classification/48-spam-detection.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,2,passed,pending,pending,"Nineteen test messages, all invented by the author; no number here describes real spam filtering"
49,10_classification/49-sentiment-and-emotion-analysis.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,2,passed,pending,pending,Lexicon coverage measured on formal prose does not transfer to short customer feedback
50,10_classification/50-intent-classification.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,2,passed,pending,pending,No performance number is reported because the author wrote both the messages and the classifier
51,10_classification/51-text-classification.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,2,passed,pending,pending,One split of one corpus; the feature difference shown sits inside the replicate spread
52,10_classification/52-multi-label-and-multi-class-classification.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,2,passed,pending,pending,"Multi-label categories come from a hand-written dictionary, so agreement measures the dictionary"
53,11_signals_and_discovery/53-keyword-extraction.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,2,passed,pending,pending,"No ground truth for importance exists, so the comparison shows disagreement rather than quality"
54,11_signals_and_discovery/54-extractive-summarization.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,2,passed,pending,pending,"No reference summary exists for these speeches, so no summary quality claim is made"
55,11_signals_and_discovery/55-topic-modeling.qmd,review-ready,2026-08-30,2026-08-30,passed,passed,passed,3,passed,pending,pending,"Topics are produced by a chosen k, not discovered; top-term tables invite over-reading"
56,11_signals_and_discovery/56-trend-detection.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,2,passed,pending,pending,With 60 documents a trend can rest on one speech; vocabulary change and subject change are not separated
57,11_signals_and_discovery/57-outlier-detection.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,2,passed,pending,pending,Outlier rank depends on the representation and on length; the top case is 135 words long
58,12_similarity/58-wordnet-synsets.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,2,passed,pending,pending,A 38-lemma slice of one WordNet release; sense inventories are curated and contested
59,12_similarity/59-distance-measures.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,2,passed,pending,pending,Distance rankings depend on weighting and on document length
60,12_similarity/60-document-similarity.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,2,passed,pending,pending,"Similarity is defined by the representation, and speeches by one author dominate the nearest pairs"
61,12_similarity/61-distributed-word-representations.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,2,passed,pending,pending,"Trained on roughly 154,000 tokens, so neighbour lists look convincing while carrying little information"
62,12_similarity/62-contextualized-word-representations.qmd,review-ready,2026-08-29,2026-08-30,passed,passed,passed,2,passed,pending,pending,"A small model's internal representation, not a large language model's, and not comparable across versions"
