doc_id,record_type,doc_date,source_type,sender_role,subject,review_request,reference_responsive,reference_reason,construction_subtype,near_duplicate_of,text,author_note,construction_id,file_position
RYD-0025,review,2026-03-13,email,warehouse supervisor,training room note,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,For today: After the manufacturer tour count the visitor vests again.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0025,25
RYD-0026,review,2026-05-21,chat,safety clerk,visitor follow-up,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",near duplicate not responsive original,NA,Forwarding from intake: The Room 104 sink repair note belongs in the maintenance binder.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0026,26
RYD-0027,review,2026-03-01,meeting note,maintenance lead,payroll question,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Reminder: Please prepare the accessible seating area before the graduation rehearsal and leave two aisle spaces.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0027,27
RYD-0028,review,2026-03-29,memo,warehouse supervisor,records question,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",TRUE,contains at least one predeclared keyword and is responsive to the request,keyword responsive,NA,Ticket note: The safety inspection delay should stay out of the weekly Calder Yard summary.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0028,28
RYD-0029,review,2026-03-06,chat,program manager,schedule follow-up,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Ask someone to check whether the lab tablets charged overnight before learners sign them out. Thanks.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0029,29
RYD-0030,review,2026-04-27,memo,shift planner,support ticket,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,For today: After the numeracy class clean the whiteboard and markers.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0030,30
RYD-0031,review,2026-05-02,memo,warehouse supervisor,records question,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Please note: Tell the career team that the college visitors arrived and are waiting near reception.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0031,31
RYD-0032,review,2026-03-17,meeting note,warehouse supervisor,payroll question,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Following up: Use the longer cord for the sign-in tablet so the stand reaches the outlet.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0032,32
RYD-0033,review,2026-03-27,call note,operations coordinator,routing item,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Please note: Tell mentors that the room change email went out and the signs are posted.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0033,33
RYD-0034,review,2026-04-23,call note,safety clerk,transit update,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,For today: After the tour return the visitor parking placards.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0034,34
RYD-0035,review,2026-03-08,chat,program manager,schedule follow-up,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Forwarding from intake: Keep the visitor vests together before the manufacturer tour and sort out the torn straps.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0035,35
RYD-0036,review,2026-03-17,chat,safety clerk,visitor follow-up,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Ticket note: The new chair pads make the computer room less noisy during typing practice.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0036,36
RYD-0037,review,2026-03-06,memo,shift planner,support ticket,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,We welcomed visitors from the college after lunch and gave them orange lanyards. Call me if anything is unclear.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0037,37
RYD-0038,review,2026-05-06,meeting note,shift planner,supervisor note,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,"Monday update: If the volunteer roster changes, call Marta before lunch so badges can be reprinted.","Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0038,38
RYD-0039,review,2026-03-29,email,maintenance lead,training room note,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Ask grounds about the puddle by the bike rack before the evening rain starts. Call me if anything is unclear.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0039,39
RYD-0040,review,2026-04-02,chat,operations coordinator,schedule follow-up,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,"We have enough tea and sugar for the evening class, but the cups are low. Call me if anything is unclear.","Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0040,40
RYD-0041,review,2026-04-18,meeting note,warehouse supervisor,payroll question,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,"Monday update: If the table layout works, send it to the program manager before the setup crew leaves.","Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0041,41
RYD-0042,review,2026-03-16,chat,records assistant,visitor follow-up,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Per scheduling: Move the portable whiteboard back after the job fair and wipe off the employer notes.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0042,42
RYD-0043,review,2026-05-23,call note,records assistant,transit update,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",TRUE,contains at least one predeclared keyword and is responsive to the request,keyword responsive,NA,Monday update: Remove the delayed inspection line from the packet before records reviews it.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0043,43
RYD-0044,review,2026-05-05,meeting note,maintenance lead,payroll question,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,The shuttle can wait for the afternoon cohort today if the driver gets notice. Thanks.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0044,44
RYD-0045,review,2026-04-20,memo,shift planner,support ticket,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",TRUE,contains at least one predeclared keyword and is responsive to the request,keyword responsive,NA,The draft says the inspection was late; delete that line before the packet goes out. Call me if anything is unclear.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0045,45
RYD-0046,review,2026-05-06,meeting note,warehouse supervisor,payroll question,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,"Ticket note: The front ramp is clear, but the salt bucket is low near the automatic doors.","Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0046,46
RYD-0047,review,2026-04-27,email,warehouse supervisor,training room note,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Per scheduling: Move the translation cards to the library event folder with the bilingual flyers.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0047,47
RYD-0048,review,2026-04-16,chat,operations coordinator,schedule follow-up,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",keyword false hit,NA,Please delete the duplicate lunch order from the event spreadsheet.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0048,48
RYD-0049,review,2026-03-23,ticket,safety clerk,desk update,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",keyword false hit,NA,The delayed chair shipment arrived at the front desk this afternoon.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0049,49
RYD-0050,review,2026-04-03,memo,shift planner,support ticket,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Please note: Tell the front desk about the blue scarf from security before lost-and-found pickup.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0050,50
RYD-0051,review,2026-04-08,meeting note,shift planner,supervisor note,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",TRUE,contains at least one predeclared keyword and is responsive to the request,keyword responsive,NA,"Ticket note: If the inspector asks about Tuesday, say the log is still being reconciled.","Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0051,51
RYD-0052,review,2026-05-30,ticket,safety clerk,desk update,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",TRUE,contains at least one predeclared keyword and is responsive to the request,keyword responsive,NA,Chat at noon: The Calder Yard summary should not mention that the inspection was missed.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0052,52
RYD-0053,review,2026-03-19,chat,records assistant,visitor follow-up,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Chat at noon: Do not stack chairs beside the ramp before visitors leave the graduation rehearsal.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0053,53
RYD-0054,review,2026-04-06,call note,program manager,routing item,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",keyword false hit,NA,"Calder Yard is listed on the volunteer cleanup map, not the contract file.","Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0054,54
RYD-0055,review,2026-05-03,chat,safety clerk,visitor follow-up,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,For today: Tell operations that the loading bay is closed Thursday while the railing is repaired.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0055,55
RYD-0056,review,2026-04-26,call note,operations coordinator,routing item,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Following up: Use the spare display adapter if the speaker needs it during the auditorium test.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0056,56
RYD-0057,review,2026-05-12,ticket,records assistant,desk update,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,"Monday update: If the copier jams again, use the staff room machine for the intake packets.","Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0057,57
RYD-0058,review,2026-04-26,meeting note,maintenance lead,payroll question,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Please note: Tell transit that the shuttle stop moves across the street Monday because of paving.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0058,58
RYD-0059,review,2026-03-26,memo,warehouse supervisor,records question,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,The payroll desk can resend the stipend question; Omar missed the first note. Thanks.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0059,59
RYD-0060,review,2026-04-29,email,warehouse supervisor,training room note,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,We found the mop closet key under the supply cart; facilities has it now. Call me if anything is unclear.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0060,60
RYD-0061,review,2026-03-15,chat,safety clerk,visitor follow-up,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Following up: Use the new stop name on the shuttle notice for Monday pickup.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0061,61
RYD-0062,review,2026-04-23,ticket,program manager,supply note,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Can the catering team bring decaf for the morning panel and a dairy-free creamer? Call me if anything is unclear.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0062,62
RYD-0063,review,2026-05-27,email,warehouse supervisor,training room note,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Chat at noon: Do not lend headsets without writing down the learner's name and return time.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0063,63
RYD-0064,review,2026-05-30,email,maintenance lead,training room note,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",TRUE,contains at least one predeclared keyword and is responsive to the request,keyword responsive,NA,Forwarding from intake: Delete my message about the inspection gap after you copy the dates.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0064,64
RYD-0065,review,2026-03-26,meeting note,contract analyst,supervisor note,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,For today: After the community meeting put the recycling cart outside.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0065,65
RYD-0066,review,2026-03-15,meeting note,contract analyst,supervisor note,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Ticket note: The restroom sign near the annex should point guests downstairs during the plumbing work.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0066,66
RYD-0067,review,2026-04-14,meeting note,warehouse supervisor,payroll question,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,"Per scheduling: Move the cart downstairs after the morning computer class, and leave the elevator clear.","Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0067,67
RYD-0068,review,2026-04-15,memo,shift planner,support ticket,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,I placed replacement batteries beside the portable speaker case for the auditorium setup. Thanks.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0068,68
RYD-0069,review,2026-05-14,chat,records assistant,visitor follow-up,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,I cleaned the whiteboard after the numeracy class ended and saved the marker caps. Thanks.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0069,69
RYD-0070,review,2026-03-22,memo,contract analyst,support ticket,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Per scheduling: Keep my draft agenda in the shared planning folder while I confirm speaker times.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0070,70
RYD-0071,review,2026-04-02,memo,shift planner,support ticket,"Find records about hiding safety inspection delays, changing inspection logs, or deleting inspection-related messages for the Calder Yard contract.",FALSE,"does not concern hiding inspection delays, changing logs, or deleting related messages",not responsive,NA,Chat at noon: Do not use the side entrance while repairs are underway near the loading bay.,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item.",RC-0071,71
