message_id,text,is_spam,intent,author_note
M036,"I tried to report a suspicious offer, but the report button failed.",FALSE,report_problem,Invented by the site author for a teaching fixture; not a real message or validated benchmark.
M037,"I'm from tech support, and I found an infection; buy this cleanup card before applying!",TRUE,report_problem,Invented by the site author for a teaching fixture; not a real message or validated benchmark.
M038,I represent a recruiter who requires crypto payment for the Lab background check.,TRUE,report_problem,Invented by the site author for a teaching fixture; not a real message or validated benchmark.
M039,The Spanish version of the page cuts off the final question.,FALSE,report_problem,Invented by the site author for a teaching fixture; not a real message or validated benchmark.
M040,The map sends me to the old training entrance.,FALSE,report_problem,Invented by the site author for a teaching fixture; not a real message or validated benchmark.
M041,Please call after 3 p.m. about the healthcare aide class.,FALSE,request_callback,Invented by the site author for a teaching fixture; not a real message or validated benchmark.
M042,Schedule a callback because the online session is not possible to attend.,FALSE,request_callback,Invented by the site author for a teaching fixture; not a real message or validated benchmark.
M043,Can a counselor phone me about which certificate fits warehouse work?,FALSE,request_callback,Invented by the site author for a teaching fixture; not a real message or validated benchmark.
M044,Please leave a voicemail if I miss the call.,FALSE,request_callback,Invented by the site author for a teaching fixture; not a real message or validated benchmark.
M045,I need someone to call my case manager about required paperwork.,FALSE,request_callback,Invented by the site author for a teaching fixture; not a real message or validated benchmark.
M046,Could you call with bus directions to the skills centre?,FALSE,request_callback,Invented by the site author for a teaching fixture; not a real message or validated benchmark.
M047,Call this premium number now to claim your guaranteed job interview.,TRUE,request_callback,Invented by the site author for a teaching fixture; not a real message or validated benchmark.
M048,Should I call back with a remote job offer after you text your card number?,TRUE,request_callback,Invented by the site author for a teaching fixture; not a real message or validated benchmark.
M049,"I work mornings, so please call me during lunch about the class waitlist.",FALSE,request_callback,Invented by the site author for a teaching fixture; not a real message or validated benchmark.
M050,Can the intake worker call my parent to explain the program?,FALSE,request_callback,Invented by the site author for a teaching fixture; not a real message or validated benchmark.
M051,"Congratulations, you were selected for a secret shopper job; deposit this check today.",TRUE,check_status,Invented by the site author for a teaching fixture; not a real message or validated benchmark.
M052,I need your Social Security number by text to finish your hiring file.,TRUE,reset_access,Invented by the site author for a teaching fixture; not a real message or validated benchmark.
M053,A company using your logo offered a remote packing job and asked for a wire transfer.,FALSE,report_problem,Invented by the site author for a teaching fixture; not a real message or validated benchmark.
M054,Earn $900 weekly mailing packages from home with no interview.,TRUE,ask_eligibility,Invented by the site author for a teaching fixture; not a real message or validated benchmark.
M055,I am not sure whether this offer is real; the recruiter wants a photo of my ID.,FALSE,report_problem,Invented by the site author for a teaching fixture; not a real message or validated benchmark.
M056,Limited slots for city jobs! Pay now in crypto to reserve your badge.,TRUE,request_callback,Invented by the site author for a teaching fixture; not a real message or validated benchmark.
M057,The childcare stipend form says pending. Do I need to send another copy?,FALSE,check_status,Invented by the site author for a teaching fixture; not a real message or validated benchmark.
M058,My office will release your training certificate after the activation fee.,TRUE,check_status,Invented by the site author for a teaching fixture; not a real message or validated benchmark.
M059,I cannot open the document that lists class materials.,FALSE,report_problem,Invented by the site author for a teaching fixture; not a real message or validated benchmark.
M060,Send a deposit for tools and start tomorrow as a warehouse supervisor.,TRUE,ask_eligibility,Invented by the site author for a teaching fixture; not a real message or validated benchmark.
