stream_id,record_type,arrival_order,doc_date,source_type,text,reference_alert,reference_reason,near_duplicate_of,author_note
MON-018,monitoring,11,2026-06-10,vendor post,Syndicated maintenance bulletin reports new guardrail signs at Calder Yard.,FALSE,"monitoring reference item is unrelated, duplicated, or ambiguous",MON-021,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item."
MON-014,monitoring,12,2026-06-10,civic calendar,Local brief says contract records will be audited after a missed check.,TRUE,monitoring reference item concerns the review topic or Calder Yard records,NA,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item."
MON-017,monitoring,13,2026-06-11,news brief,Training newsletter asks volunteers to inspect donated laptops.,FALSE,"monitoring reference item is unrelated, duplicated, or ambiguous",NA,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item."
MON-007,monitoring,14,2026-06-12,union bulletin,Vendor post repeats that contract records will be audited after a missed check.,TRUE,monitoring reference item concerns the review topic or Calder Yard records,MON-014,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item."
MON-013,monitoring,15,2026-06-13,vendor post,Riverton Calder council posts a meeting agenda about yard procurement.,FALSE,"monitoring reference item is unrelated, duplicated, or ambiguous",NA,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item."
MON-019,monitoring,16,2026-06-13,civic calendar,Harbour blog writes about Riverton Tidewater seafood trucks.,FALSE,"monitoring reference item is unrelated, duplicated, or ambiguous",NA,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item."
MON-011,monitoring,17,2026-06-14,news brief,Safety clerk account says old route notes should not be shared.,TRUE,monitoring reference item concerns the review topic or Calder Yard records,NA,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item."
MON-009,monitoring,18,2026-06-15,union bulletin,Civic notice announces a parking delay near the Calder library.,FALSE,"monitoring reference item is unrelated, duplicated, or ambiguous",NA,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item."
MON-023,monitoring,19,2026-06-16,vendor post,Syndicated civic notice announces a parking delay near the Calder library.,FALSE,"monitoring reference item is unrelated, duplicated, or ambiguous",MON-009,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item."
MON-001,monitoring,20,2026-06-17,civic calendar,Workforce Lab posts a non-alert reminder about child care during evening classes.,FALSE,"monitoring reference item is unrelated, duplicated, or ambiguous",NA,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item."
MON-005,monitoring,21,2026-06-17,news brief,Calder Yard contractor denies deleting any inspection messages.,TRUE,monitoring reference item concerns the review topic or Calder Yard records,NA,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item."
MON-016,monitoring,22,2026-06-18,union bulletin,Wire copy: Calder Yard contractor denies deleting any inspection messages.,TRUE,monitoring reference item concerns the review topic or Calder Yard records,MON-005,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item."
MON-022,monitoring,23,2026-06-19,vendor post,Riverton school board posts a classroom inspection checklist.,FALSE,"monitoring reference item is unrelated, duplicated, or ambiguous",NA,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item."
MON-020,monitoring,24,2026-06-20,civic calendar,"A regional item says Riverton won a rowing race, with no contract context.",FALSE,"monitoring reference item is unrelated, duplicated, or ambiguous",NA,"Constructed teaching record: this row is fictional and does not describe a real person, organisation, case, or media item."
